module	module_title	lesson_title	video_map_key	suggested_search
1	Module 1: Course Orientation	1.1 Welcome to the Course	M1:Welcome to the Course	Welcome to the Course agritech introduction tutorial
1	Module 1: Course Orientation	1.2 What is AgriTech?	M1:What is AgriTech?	What is AgriTech? agritech introduction tutorial
1	Module 1: Course Orientation	1.3 What is Digital Agriculture?	M1:What is Digital Agriculture?	What is Digital Agriculture? agritech introduction tutorial
1	Module 1: Course Orientation	1.4 Careers in AgriTech	M1:Careers in AgriTech	Careers in AgriTech agritech introduction tutorial
1	Module 1: Course Orientation	1.5 The Future of Agriculture	M1:The Future of Agriculture	The Future of Agriculture agritech introduction tutorial
1	Module 1: Course Orientation	1.6 Course Roadmap	M1:Course Roadmap	Course Roadmap agritech introduction tutorial
1	Module 1: Course Orientation	1.7 Learning Resources	M1:Learning Resources	Learning Resources agritech introduction tutorial
1	Module 1: Course Orientation	🛠️ Final Capstone Project	M1:Final Capstone Project	Final Capstone Project agritech introduction tutorial
1	Module 1: Course Orientation	1.9 Certificate Requirements	M1:Certificate Requirements	Certificate Requirements agritech introduction tutorial
2	Module 2: Introduction to Agriculture	2.1 Fundamentals of Agriculture	M2:Fundamentals of Agriculture	Fundamentals of Agriculture agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.2 Crop Production	M2:Crop Production	Crop Production agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.3 Livestock Production	M2:Livestock Production	Livestock Production agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.4 Agricultural Systems	M2:Agricultural Systems	Agricultural Systems agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.5 Soil Science Basics	M2:Soil Science Basics	Soil Science Basics agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.6 Plant Biology	M2:Plant Biology	Plant Biology agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.7 Farm Ecosystems	M2:Farm Ecosystems	Farm Ecosystems agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.8 Agricultural Terminology	M2:Agricultural Terminology	Agricultural Terminology agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.9 Food Security	M2:Food Security	Food Security agriculture basics tutorial
2	Module 2: Introduction to Agriculture	2.10 Sustainable Agriculture	M2:Sustainable Agriculture	Sustainable Agriculture agriculture basics tutorial
3	Module 3: Digital Transformation in Agriculture	3.1 Digital Agriculture Overview	M3:Digital Agriculture Overview	Digital Agriculture Overview digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.2 Smart Farming Concepts	M3:Smart Farming Concepts	Smart Farming Concepts digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.3 Precision Agriculture	M3:Precision Agriculture	Precision Agriculture digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.4 Digital Farm Management	M3:Digital Farm Management	Digital Farm Management digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.5 Agricultural Innovation	M3:Agricultural Innovation	Agricultural Innovation digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.6 Data-Driven Farming	M3:Data-Driven Farming	Data-Driven Farming digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.7 Farm Automation	M3:Farm Automation	Farm Automation digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.8 Agricultural Information Systems	M3:Agricultural Information Systems	Agricultural Information Systems digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.9 Emerging Technologies	M3:Emerging Technologies	Emerging Technologies digital agriculture tutorial
3	Module 3: Digital Transformation in Agriculture	3.10 AgriTech Trends	M3:AgriTech Trends	AgriTech Trends digital agriculture tutorial
4	Module 4: Climate-Smart Agriculture	4.1 Climate Change and Agriculture	M4:Climate Change and Agriculture	Climate Change and Agriculture climate smart agriculture tutorial
4	Module 4: Climate-Smart Agriculture	4.2 Climate-Smart Farming	M4:Climate-Smart Farming	Climate-Smart Farming climate smart agriculture tutorial
4	Module 4: Climate-Smart Agriculture	4.3 Water Conservation	M4:Water Conservation	Water Conservation climate smart agriculture tutorial
